Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/Intellivision/Manuals/ABPA Backgammon.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FABPA%20Backgammon.pdf,2303218,7cd45731a6250b9ca7c16f942b6cf1c9,,,ABPA Backgammon.pdf
docs/Intellivision/Manuals/Advanced Dungeons & Dragons - Cloudy Mountain.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FAdvanced%20Dungeons%20%26%20Dragons%20-%20Cloudy%20Mountain.pdf,1863235,242f255363594a53af810d389eb85063,,,Advanced Dungeons & Dragons - Cloudy Mountain.pdf
docs/Intellivision/Manuals/Advanced Dungeons & Dragons - Treasure of Tarmin.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FAdvanced%20Dungeons%20%26%20Dragons%20-%20Treasure%20of%20Tarmin.pdf,2971133,4e94805bb2f19ba16a2a787e0c95c912,,,Advanced Dungeons & Dragons - Treasure of Tarmin.pdf
docs/Intellivision/Manuals/Adventures of Tron.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FAdventures%20of%20Tron.pdf,54125,30a3dbeeec2904e63d1e353f50e38c6f,,,Adventures of Tron.pdf
docs/Intellivision/Manuals/Air Strike.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FAir%20Strike.pdf,7028,0073249cc2d599d136459ec837ed16f6,,,Air Strike.pdf
docs/Intellivision/Manuals/Armor Battle.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FArmor%20Battle.pdf,654159,eb09a602abb3e6b4332e71ee9de54642,,,Armor Battle.pdf
docs/Intellivision/Manuals/Astrosmash.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FAstrosmash.pdf,1628847,0678d61ca6ded7f4135ee809eab7a6b7,,,Astrosmash.pdf
docs/Intellivision/Manuals/Atlantis.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FAtlantis.pdf,1235570,fd9e553e2693c7dd648d1344c5637e5b,,,Atlantis.pdf
docs/Intellivision/Manuals/Auto Racing.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FAuto%20Racing.pdf,742897,06c9685878da4433e3657449f287d9fe,,,Auto Racing.pdf
docs/Intellivision/Manuals/B-17 Bomber.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FB-17%20Bomber.pdf,915568,b90cbfedbd8f25cc2ccca970b9a31091,,,B-17 Bomber.pdf
docs/Intellivision/Manuals/Beamrider.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FBeamrider.pdf,1010509,3b74f3498384d0901c528983ee9094b2,,,Beamrider.pdf
docs/Intellivision/Manuals/Beauty and the Beast.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FBeauty%20and%20the%20Beast.pdf,2282384,9307d324e89e118f5854581562ded8a5,,,Beauty and the Beast.pdf
docs/Intellivision/Manuals/Blockade Runner.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FBlockade%20Runner.pdf,1276841,21a43f49158e170376f4e5cd9b2b0f73,,,Blockade Runner.pdf
docs/Intellivision/Manuals/Body Slam! Super Pro Wrestling.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FBody%20Slam%21%20Super%20Pro%20Wrestling.pdf,322054,bc9c2784426c147f735f84e14ffe0b1a,,,Body Slam! Super Pro Wrestling.pdf
docs/Intellivision/Manuals/Bomb Squad.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FBomb%20Squad.pdf,2521871,4c94a6c7030c2dbf9623fd24bb357fad,,,Bomb Squad.pdf
docs/Intellivision/Manuals/Boxing.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FBoxing.pdf,2485127,f576688f143f8bdfcf21f74e41db5f91,,,Boxing.pdf
docs/Intellivision/Manuals/Brickout!.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FBrickout%21.pdf,40410,c03db7637c0c8340515fe48e93a7260c,,,Brickout!.pdf
docs/Intellivision/Manuals/Bump 'n' Jump.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FBump%20_n_%20Jump.pdf,843202,9bc8d55bc414e5bd1c2fc329a53dfc9a,,,Bump _n_ Jump.pdf
docs/Intellivision/Manuals/BurgerTime.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FBurgerTime.pdf,808026,aa0dcf9c7dd13096770d41e3083c649f,,,BurgerTime.pdf
docs/Intellivision/Manuals/Buzz Bombers.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FBuzz%20Bombers.pdf,1214524,624b828c6bd2cff67cf8cc5ae18a3a23,,,Buzz Bombers.pdf
docs/Intellivision/Manuals/Carnival.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FCarnival.pdf,840088,24e4e349d3634b48d6dc2b1eab5e1019,,,Carnival.pdf
docs/Intellivision/Manuals/Centipede.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FCentipede.pdf,1567354,a34140130e97587880ab0b906a1af5ba,,,Centipede.pdf
docs/Intellivision/Manuals/Championship Tennis.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FChampionship%20Tennis.pdf,158664,b80c9a965b38039e2b7df2e8d7181aed,,,Championship Tennis.pdf
docs/Intellivision/Manuals/Checkers.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FCheckers.pdf,786342,1b5c1812d5e1fbf6b1b1735144985b92,,,Checkers.pdf
docs/Intellivision/Manuals/Chip Shot! Super Pro Golf.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FChip%20Shot%21%20Super%20Pro%20Golf.pdf,313112,1555d81eb4a2335da38de133bd32ea2c,,,Chip Shot! Super Pro Golf.pdf
docs/Intellivision/Manuals/Commando.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FCommando.pdf,69497,7913b248170a7f7301cc9cae989f0a26,,,Commando.pdf
docs/Intellivision/Manuals/Congo Bongo.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FCongo%20Bongo.pdf,1121783,835d379db2630eb75e6eabb7efa5d3df,,,Congo Bongo.pdf
docs/Intellivision/Manuals/Deep Pockets! Super Pro Pool & Billiards.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FDeep%20Pockets%21%20Super%20Pro%20Pool%20%26%20Billiards.pdf,65718,ffefa7d772c6012e554aec9e8c2697ac,,,Deep Pockets! Super Pro Pool & Billiards.pdf
docs/Intellivision/Manuals/Defender.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FDefender.pdf,1459758,cc852973f3ce8a503838a3e94c915e93,,,Defender.pdf
docs/Intellivision/Manuals/Demon Attack.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FDemon%20Attack.pdf,2114788,70d6ddf21cde8bb5579f43a1dacedb09,,,Demon Attack.pdf
docs/Intellivision/Manuals/Dig Dug.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FDig%20Dug.pdf,67062,7147c60892523941a64052f59e7f6d7f,,,Dig Dug.pdf
docs/Intellivision/Manuals/Diner.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FDiner.pdf,883863,c713981a69599d3166ce9ee2a7efc604,,,Diner.pdf
docs/Intellivision/Manuals/Donkey Kong Jr..pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FDonkey%20Kong%20Jr..pdf,1301475,4de874b8b7376cc8a2f9ce6cc5e8852e,,,Donkey Kong Jr..pdf
docs/Intellivision/Manuals/Donkey Kong.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FDonkey%20Kong.pdf,919317,d179e290eb427ca4bd0d3694844f184d,,,Donkey Kong.pdf
docs/Intellivision/Manuals/Dracula.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FDracula.pdf,2563600,96d11b4726c9b1eeed69805a4d9e78b3,,,Dracula.pdf
docs/Intellivision/Manuals/Dragonfire.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FDragonfire.pdf,2819553,ffac01209fa577cad45d1bb6aa8fb933,,,Dragonfire.pdf
"docs/Intellivision/Manuals/Dreadnaught Factor, The.pdf",https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FDreadnaught%20Factor%2C%20The.pdf,1132551,0c84175798954c353f3375ebd92a3ef5,,,"Dreadnaught Factor, The.pdf"
docs/Intellivision/Manuals/Electric Company - Math Fun.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FElectric%20Company%20-%20Math%20Fun.pdf,1754121,dc14f9cf9c9116a1ed9c09c7ab3527d9,,,Electric Company - Math Fun.pdf
docs/Intellivision/Manuals/Electric Company - Word Fun.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FElectric%20Company%20-%20Word%20Fun.pdf,2207461,18309aa94b769def94865e1dcf0559ce,,,Electric Company - Word Fun.pdf
docs/Intellivision/Manuals/Fathom.pdf,https://archive.org/download/mister-manuals/1979_Mattel%20Intellivision.zip/1979_Mattel%20Intellivision%2FFathom.pdf,1822629,04b495aa3ad1a15590027f772c07f5e5,,,Fathom.pdf
